,Name,State,Term,Party
1003,"DANA, Samuel Whittlesey",Connecticut,9th Congress (1805-1807),Federalist
1004,"MEAD, Cowles",Georgia,9th Congress (1805-1807),Democrat-Republican
1005,"DWIGHT, Theodore",Connecticut,9th Congress (1805-1807),Federalist
1006,"LOWER, Christian",Pennsylvania,9th Congress (1805-1807),Democrat-Republican
1007,"BARD, David",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1008,"BIBB, William Wyatt",Georgia,10th Congress (1807-1809),Democrat-Republican
1009,"WILLIAMS, David Rogerson",South Carolina,10th Congress (1807-1809),Democrat-Republican
1010,"CALHOUN, Joseph",South Carolina,10th Congress (1807-1809),Democrat-Republican
1011,"FRANKLIN, Meshack",North Carolina,10th Congress (1807-1809),Democrat-Republican
1012,"MACON, Nathaniel",North Carolina,10th Congress (1807-1809),Democrat-Republican
1013,"BASSETT, Burwell",Virginia,10th Congress (1807-1809),Democrat-Republican
1014,"BLOUNT, Thomas",North Carolina,10th Congress (1807-1809),Democrat-Republican
1015,"WHARTON, Jesse",Tennessee,10th Congress (1807-1809),Democrat-Republican
1016,"BURWELL, William Armisted",Virginia,10th Congress (1807-1809),Democrat-Republican
1017,"CLAY, Matthew",Virginia,10th Congress (1807-1809),Democrat-Republican
1018,"WHITEHILL, Robert",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1019,"CAMPBELL, George Washington",Tennessee,10th Congress (1807-1809),Democrat-Republican
1020,"DESHA, Joseph",Kentucky,10th Congress (1807-1809),Democrat-Republican
1021,"CLOPTON, John",Virginia,10th Congress (1807-1809),Democrat-Republican
1022,"BUTLER, William",South Carolina,10th Congress (1807-1809),Democrat-Republican
1023,"WILSON, Alexander",Virginia,10th Congress (1807-1809),Democrat-Republican
1024,"BROWN, Robert",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1025,"MOORE, Thomas",South Carolina,10th Congress (1807-1809),Democrat-Republican
1026,"TAYLOR, John",South Carolina,10th Congress (1807-1809),Democrat-Republican
1027,"COBB, Howell",Georgia,10th Congress (1807-1809),Democrat-Republican
1028,"KENAN, Thomas",North Carolina,10th Congress (1807-1809),Democrat-Republican
1029,"SAY, Benjamin",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1030,"EPPES, John Wayles",Virginia,10th Congress (1807-1809),Democrat-Republican
1031,"HOLLAND, James",North Carolina,10th Congress (1807-1809),Democrat-Republican
1032,"GOODWYN, Peterson",Virginia,10th Congress (1807-1809),Democrat-Republican
1033,"TROUP, George Michael",Georgia,10th Congress (1807-1809),Democrat-Republican
1034,"REA, John",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1035,"RICHARDS, Jacob",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1036,"RHEA, John",Tennessee,10th Congress (1807-1809),Democrat-Republican
1037,"MONTGOMERY, Daniel, Jr.",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1038,"SEAVER, Ebenezer",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1039,"CLAY, Joseph",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1040,"WINN, Richard",South Carolina,10th Congress (1807-1809),Democrat-Republican
1041,"MORROW, John",Virginia,10th Congress (1807-1809),Democrat-Republican
1042,"NICHOLAS, Wilson Cary",Virginia,10th Congress (1807-1809),Democrat-Republican
1043,"PORTER, John",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1044,"JOHNSON, Richard Mentor",Kentucky,10th Congress (1807-1809),Democrat-Republican
1045,"MONTGOMERY, John",Maryland,10th Congress (1807-1809),Democrat-Republican
1046,"TRIGG, Abram",Virginia,10th Congress (1807-1809),Democrat-Republican
1047,"GHOLSON, Thomas, Jr.",Virginia,10th Congress (1807-1809),Democrat-Republican
1048,"STANFORD, Richard",North Carolina,10th Congress (1807-1809),Democrat-Republican
1049,"SMILIE, John",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1050,"ALSTON, Lemuel James",South Carolina,10th Congress (1807-1809),Democrat-Republican
1051,"HOLMES, David",Virginia,10th Congress (1807-1809),Democrat-Republican
1052,"DEAN, Josiah",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1053,"MOORE, Nicholas Ruxton",Maryland,10th Congress (1807-1809),Democrat-Republican
1054,"SHAW, Samuel",Vermont,10th Congress (1807-1809),Democrat-Republican
1055,"PUGH, John",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1056,"ALSTON, Willis",North Carolina,10th Congress (1807-1809),Democrat-Republican
1057,"LOVE, John",Virginia,10th Congress (1807-1809),Democrat-Republican
1058,"NELSON, Roger",Maryland,10th Congress (1807-1809),Democrat-Republican
1059,"DAWSON, John",Virginia,10th Congress (1807-1809),Democrat-Republican
1060,"SMITH, Samuel",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1061,"MARION, Robert",South Carolina,10th Congress (1807-1809),Democrat-Republican
1062,"RICHARDS, Matthias",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1063,"BLACKLEDGE, William",North Carolina,10th Congress (1807-1809),Democrat-Republican
1064,"JONES, Walter",Virginia,10th Congress (1807-1809),Democrat-Republican
1065,"RANDOLPH, John",Virginia,10th Congress (1807-1809),Democrat-Republican
1066,"SMITH, John",Virginia,10th Congress (1807-1809),Democrat-Republican
1067,"DARBY, Ezra",New Jersey,10th Congress (1807-1809),Democrat-Republican
1068,"BOYLE, John",Kentucky,10th Congress (1807-1809),Democrat-Republican
1069,"KNIGHT, Nehemiah",Rhode Island,10th Congress (1807-1809),Democrat-Republican
1070,"HOWARD, Benjamin",Kentucky,10th Congress (1807-1809),Democrat-Republican
1071,"KIRKPATRICK, William",New York,10th Congress (1807-1809),Democrat-Republican
1072,"CLAIBORNE, John",Virginia,10th Congress (1807-1809),Democrat-Republican
1073,"VARNUM, Joseph Bradley",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1074,"GARNETT, James Mercer",Virginia,10th Congress (1807-1809),Democrat-Republican
1075,"GRAY, Edwin",Virginia,10th Congress (1807-1809),Democrat-Republican
1076,"ROWAN, John",Kentucky,10th Congress (1807-1809),Democrat-Republican
1077,"SMELT, Dennis",Georgia,10th Congress (1807-1809),Democrat-Republican
1078,"FINDLEY, William",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1079,"CULPEPPER, John",North Carolina,10th Congress (1807-1809),Federalist
1080,"SAWYER, Lemuel",North Carolina,10th Congress (1807-1809),Democrat-Republican
1081,"JACKSON, John George",Virginia,10th Congress (1807-1809),Democrat-Republican
1082,"BOYD, Adam",New Jersey,10th Congress (1807-1809),Democrat-Republican
1083,"HIESTER, John",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1084,"THOMAS, David",New York,10th Congress (1807-1809),Democrat-Republican
1085,"LLOYD, Edward",Maryland,10th Congress (1807-1809),Democrat-Republican
1086,"WITHERELL, James",Vermont,10th Congress (1807-1809),Democrat-Republican
1087,"ALEXANDER, Evan Shelby",North Carolina,10th Congress (1807-1809),Democrat-Republican
1088,"NEWTON, Thomas, Jr.",Virginia,10th Congress (1807-1809),Democrat-Republican
1089,"CROWNINSHIELD, Jacob",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1090,"McCREERY, William",Maryland,10th Congress (1807-1809),Democrat-Republican
1091,"BLAKE, John, Jr.",New York,10th Congress (1807-1809),Democrat-Republican
1092,"RIKER, Samuel",New York,10th Congress (1807-1809),Democrat-Republican
1093,"SOUTHARD, Henry",New Jersey,10th Congress (1807-1809),Democrat-Republican
1094,"WILLIAMS, Marmaduke",North Carolina,10th Congress (1807-1809),Democrat-Republican
1095,"CUTTS, Richard",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1096,"MORROW, Jeremiah",Ohio,10th Congress (1807-1809),Democrat-Republican
1097,"GREEN, Isaiah Lewis",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1098,"NEWBOLD, Thomas",New Jersey,10th Congress (1807-1809),Democrat-Republican
1099,"SLOAN, James",New Jersey,10th Congress (1807-1809),Democrat-Republican
1100,"WILBOUR, Isaac",Rhode Island,10th Congress (1807-1809),Democrat-Republican
1101,"VAN CORTLANDT, Philip",New York,10th Congress (1807-1809),Democrat-Republican
1102,"VERPLANCK, Daniel Crommelin",New York,10th Congress (1807-1809),Democrat-Republican
1103,"SMITH, Jedediah Kilburn",New Hampshire,10th Congress (1807-1809),Democrat-Republican
1104,"HOGE, William",Pennsylvania,10th Congress (1807-1809),Democrat-Republican
1105,"FISK, James",Vermont,10th Congress (1807-1809),Democrat-Republican
1106,"THOMPSON, John",New York,10th Congress (1807-1809),Democrat-Republican
1107,"HELMS, William",New Jersey,10th Congress (1807-1809),Democrat-Republican
1108,"MASTERS, Josiah",New York,10th Congress (1807-1809),Democrat-Republican
1109,"LYON, Matthew",Kentucky,10th Congress (1807-1809),Democrat-Republican
1110,"BARKER, Joseph",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1111,"VAN HORNE, Archibald",Maryland,10th Congress (1807-1809),Democrat-Republican
1112,"CLINTON, George",New York,10th Congress (1807-1809),Democrat-Republican
1113,"GARDENIER, Barent",New York,10th Congress (1807-1809),Federalist
1114,"STORER, Clement",New Hampshire,10th Congress (1807-1809),Democrat-Republican
1115,"CHANDLER, John",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1116,"BACON, Ezekiel",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1117,"VAN ALEN, James Isaac",New York,10th Congress (1807-1809),Democrat-Republican
1118,"ILSLEY, Daniel",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1119,"DURELL, Daniel Meserve",New Hampshire,10th Congress (1807-1809),Democrat-Republican
1120,"HARRIS, John",New York,10th Congress (1807-1809),Democrat-Republican
1121,"MUMFORD, Gurdon Saltonstall",New York,10th Congress (1807-1809),Democrat-Republican
1122,"LAMBERT, John",New Jersey,10th Congress (1807-1809),Democrat-Republican
1123,"KEY, Philip Barton",Maryland,10th Congress (1807-1809),Federalist
1124,"HUMPHREY, Reuben",New York,10th Congress (1807-1809),Democrat-Republican
1125,"WILSON, Nathan",New York,10th Congress (1807-1809),Democrat-Republican
1126,"CARLETON, Peter",New Hampshire,10th Congress (1807-1809),Democrat-Republican
1127,"ELLIOT, James",Vermont,10th Congress (1807-1809),Federalist
1128,"SWART, Peter",New York,10th Congress (1807-1809),Democrat-Republican
1129,"LEWIS, Joseph, Jr.",Virginia,10th Congress (1807-1809),Federalist
1130,"GOLDSBOROUGH, Charles",Maryland,10th Congress (1807-1809),Federalist
1131,"GARDNER, Francis",New Hampshire,10th Congress (1807-1809),Democrat-Republican
1132,"COOK, Orchard",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1133,"KELLY, James",Pennsylvania,10th Congress (1807-1809),Federalist
1134,"VAN DYKE, Nicholas",Delaware,10th Congress (1807-1809),Federalist
1135,"CAMPBELL, John",Maryland,10th Congress (1807-1809),Federalist
1136,"RUSSELL, John",New York,10th Congress (1807-1809),Democrat-Republican
1137,"CHITTENDEN, Martin",Vermont,10th Congress (1807-1809),Federalist
1138,"UPHAM, Jabez",Massachusetts,10th Congress (1807-1809),Federalist
1139,"CHAMPION, Epaphroditus",Connecticut,10th Congress (1807-1809),Federalist
1140,"JENKINS, Robert",Pennsylvania,10th Congress (1807-1809),Federalist
1141,"STURGES, Lewis Burr",Connecticut,10th Congress (1807-1809),Federalist
1142,"TAGGART, Samuel",Massachusetts,10th Congress (1807-1809),Federalist
1143,"STEDMAN, William",Massachusetts,10th Congress (1807-1809),Federalist
1144,"MOSELEY, Jonathan Ogden",Connecticut,10th Congress (1807-1809),Federalist
1145,"MILNOR, William",Pennsylvania,10th Congress (1807-1809),Federalist
1146,"PITKIN, Timothy",Connecticut,10th Congress (1807-1809),Federalist
1147,"TALLMADGE, Benjamin",Connecticut,10th Congress (1807-1809),Federalist
1148,"JACKSON, Richard, Jr.",Rhode Island,10th Congress (1807-1809),Federalist
1149,"QUINCY, Josiah",Massachusetts,10th Congress (1807-1809),Federalist
1150,"VAN RENSSELAER, Killian Killian",New York,10th Congress (1807-1809),Federalist
1151,"DAVENPORT, John",Connecticut,10th Congress (1807-1809),Federalist
1152,"ELY, William",Massachusetts,10th Congress (1807-1809),Federalist
1153,"DANA, Samuel Whittlesey",Connecticut,10th Congress (1807-1809),Federalist
1154,"LIVERMORE, Edward St. Loe",Massachusetts,10th Congress (1807-1809),Federalist
1155,"STORY, Joseph",Massachusetts,10th Congress (1807-1809),Democrat-Republican
1156,"McKINLEY, William",Virginia,11th Congress (1809-1811),Democrat-Republican
1157,"ROANE, John",Virginia,11th Congress (1809-1811),Democrat-Republican
1158,"BARD, David",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1159,"BIBB, William Wyatt",Georgia,11th Congress (1809-1811),Democrat-Republican
1160,"CRAWFORD, William",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1161,"CALHOUN, Joseph",South Carolina,11th Congress (1809-1811),Democrat-Republican
1162,"FRANKLIN, Meshack",North Carolina,11th Congress (1809-1811),Democrat-Republican
1163,"MACON, Nathaniel",North Carolina,11th Congress (1809-1811),Democrat-Republican
1164,"BASSETT, Burwell",Virginia,11th Congress (1809-1811),Democrat-Republican
1165,"COCHRAN, James",North Carolina,11th Congress (1809-1811),Democrat-Republican
1166,"BURWELL, William Armisted",Virginia,11th Congress (1809-1811),Democrat-Republican
1167,"CLAY, Matthew",Virginia,11th Congress (1809-1811),Democrat-Republican
1168,"WHITEHILL, Robert",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1169,"DESHA, Joseph",Kentucky,11th Congress (1809-1811),Democrat-Republican
1170,"CLOPTON, John",Virginia,11th Congress (1809-1811),Democrat-Republican
1171,"BUTLER, William",South Carolina,11th Congress (1809-1811),Democrat-Republican
1172,"BROWN, Robert",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1173,"MOORE, Thomas",South Carolina,11th Congress (1809-1811),Democrat-Republican
1174,"TAYLOR, John",South Carolina,11th Congress (1809-1811),Democrat-Republican
1175,"COBB, Howell",Georgia,11th Congress (1809-1811),Democrat-Republican
1176,"KENAN, Thomas",North Carolina,11th Congress (1809-1811),Democrat-Republican
1177,"SAY, Benjamin",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1178,"EPPES, John Wayles",Virginia,11th Congress (1809-1811),Democrat-Republican
1179,"HOLLAND, James",North Carolina,11th Congress (1809-1811),Democrat-Republican
1180,"GOODWYN, Peterson",Virginia,11th Congress (1809-1811),Democrat-Republican
1181,"TROUP, George Michael",Georgia,11th Congress (1809-1811),Democrat-Republican
1182,"REA, John",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1183,"RHEA, John",Tennessee,11th Congress (1809-1811),Democrat-Republican
1184,"WEAKLEY, Robert",Tennessee,11th Congress (1809-1811),Democrat-Republican
1185,"LYLE, Aaron",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1186,"SEAVER, Ebenezer",Massachusetts,11th Congress (1809-1811),Democrat-Republican
1187,"WINN, Richard",South Carolina,11th Congress (1809-1811),Democrat-Republican
1188,"NICHOLAS, Wilson Cary",Virginia,11th Congress (1809-1811),Democrat-Republican
1189,"PORTER, John",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1190,"JOHNSON, Richard Mentor",Kentucky,11th Congress (1809-1811),Democrat-Republican
1191,"MONTGOMERY, John",Maryland,11th Congress (1809-1811),Democrat-Republican
1192,"GHOLSON, Thomas, Jr.",Virginia,11th Congress (1809-1811),Democrat-Republican
1193,"STANFORD, Richard",North Carolina,11th Congress (1809-1811),Democrat-Republican
1194,"SMILIE, John",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1195,"ALSTON, Lemuel James",South Carolina,11th Congress (1809-1811),Democrat-Republican
1196,"RINGGOLD, Samuel",Maryland,11th Congress (1809-1811),Democrat-Republican
1197,"MOORE, Nicholas Ruxton",Maryland,11th Congress (1809-1811),Democrat-Republican
1198,"SHAW, Samuel",Vermont,11th Congress (1809-1811),Democrat-Republican
1199,"ALSTON, Willis",North Carolina,11th Congress (1809-1811),Democrat-Republican
1200,"McKEE, Samuel",Kentucky,11th Congress (1809-1811),Democrat-Republican
1201,"LOVE, John",Virginia,11th Congress (1809-1811),Democrat-Republican
1202,"NELSON, Roger",Maryland,11th Congress (1809-1811),Democrat-Republican
1203,"DAWSON, John",Virginia,11th Congress (1809-1811),Democrat-Republican
1204,"SMITH, Samuel",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1205,"MARION, Robert",South Carolina,11th Congress (1809-1811),Democrat-Republican
1206,"RICHARDS, Matthias",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1207,"JONES, Walter",Virginia,11th Congress (1809-1811),Democrat-Republican
1208,"RANDOLPH, John",Virginia,11th Congress (1809-1811),Democrat-Republican
1209,"SMITH, John",Virginia,11th Congress (1809-1811),Democrat-Republican
1210,"HUFTY, Jacob",New Jersey,11th Congress (1809-1811),Democrat-Republican
1211,"BROWN, John",Maryland,11th Congress (1809-1811),Democrat-Republican
1212,"KENNEDY, William",North Carolina,11th Congress (1809-1811),Democrat-Republican
1213,"COX, James",New Jersey,11th Congress (1809-1811),Democrat-Republican
1214,"SAGE, Ebenezer",New York,11th Congress (1809-1811),Democrat-Republican
1215,"HOWARD, Benjamin",Kentucky,11th Congress (1809-1811),Democrat-Republican
1216,"VARNUM, Joseph Bradley",Massachusetts,11th Congress (1809-1811),Democrat-Republican
1217,"WITHERSPOON, Robert",South Carolina,11th Congress (1809-1811),Democrat-Republican
1218,"GRAY, Edwin",Virginia,11th Congress (1809-1811),Democrat-Republican
1219,"CRIST, Henry",Kentucky,11th Congress (1809-1811),Democrat-Republican
1220,"SMITH, George",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1221,"SMELT, Dennis",Georgia,11th Congress (1809-1811),Democrat-Republican
1222,"McKIM, Alexander",Maryland,11th Congress (1809-1811),Democrat-Republican
1223,"FINDLEY, William",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1224,"SAWYER, Lemuel",North Carolina,11th Congress (1809-1811),Democrat-Republican
1225,"GANNETT, Barzillai",Massachusetts,11th Congress (1809-1811),Democrat-Republican
1226,"JACKSON, John George",Virginia,11th Congress (1809-1811),Democrat-Republican
1227,"BOYD, Adam",New Jersey,11th Congress (1809-1811),Democrat-Republican
1228,"ANDERSON, William",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1229,"ROOT, Erastus",New York,11th Congress (1809-1811),Democrat-Republican
1230,"GARLAND, David Shepherd",Virginia,11th Congress (1809-1811),Democrat-Republican
1231,"NEWTON, Thomas, Jr.",Virginia,11th Congress (1809-1811),Democrat-Republican
1232,"SAMMONS, Thomas",New York,11th Congress (1809-1811),Democrat-Republican
1233,"SOUTHARD, Henry",New Jersey,11th Congress (1809-1811),Democrat-Republican
1234,"CUTTS, Richard",Massachusetts,11th Congress (1809-1811),Democrat-Republican
1235,"MORROW, Jeremiah",Ohio,11th Congress (1809-1811),Democrat-Republican
1236,"NEWBOLD, Thomas",New Jersey,11th Congress (1809-1811),Democrat-Republican
1237,"CHEVES, Langdon",South Carolina,11th Congress (1809-1811),Democrat-Republican
1238,"WRIGHT, Robert",Maryland,11th Congress (1809-1811),Democrat-Republican
1239,"SEYBERT, Adam",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1240,"THOMPSON, John",New York,11th Congress (1809-1811),Democrat-Republican
1241,"HELMS, William",New Jersey,11th Congress (1809-1811),Democrat-Republican
1242,"MITCHILL, Samuel Latham",New York,11th Congress (1809-1811),Democrat-Republican
1243,"SWOOPE, Jacob",Virginia,11th Congress (1809-1811),Federalist
1244,"LYON, Matthew",Kentucky,11th Congress (1809-1811),Democrat-Republican
1245,"NICHOLSON, John",New York,11th Congress (1809-1811),Democrat-Republican
1246,"TURNER, Charles, Jr.",Massachusetts,11th Congress (1809-1811),Democrat-Republican
1247,"BARRY, William Taylor",Kentucky,11th Congress (1809-1811),Democrat-Republican
1248,"GARDNER, Gideon",Massachusetts,11th Congress (1809-1811),Democrat-Republican
1249,"PEARSON, Joseph",North Carolina,11th Congress (1809-1811),Federalist
1250,"VAN HORNE, Archibald",Maryland,11th Congress (1809-1811),Democrat-Republican
1251,"SHEFFEY, Daniel",Virginia,11th Congress (1809-1811),Federalist
1252,"ROSS, John",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1253,"HIESTER, Daniel",Pennsylvania,11th Congress (1809-1811),Democrat-Republican
1254,"GARDENIER, Barent",New York,11th Congress (1809-1811),Federalist
1255,"McBRYDE, Archibald",North Carolina,11th Congress (1809-1811),Federalist
1256,"BACON, Ezekiel",Massachusetts,11th Congress (1809-1811),Democrat-Republican
1257,"MUMFORD, Gurdon Saltonstall",New York,11th Congress (1809-1811),Democrat-Republican
1258,"BRECKINRIDGE, James",Virginia,11th Congress (1809-1811),Federalist
1259,"KEY, Philip Barton",Maryland,11th Congress (1809-1811),Federalist
1260,"LEWIS, Joseph, Jr.",Virginia,11th Congress (1809-1811),Federalist
1261,"GOLDSBOROUGH, Charles",Maryland,11th Congress (1809-1811),Federalist
1262,"FISK, Jonathan",New York,11th Congress (1809-1811),Democrat-Republican
1263,"PORTER, Peter Buell",New York,11th Congress (1809-1811),Democrat-Republican
1264,"TRACY, Uri",New York,11th Congress (1809-1811),Democrat-Republican
1265,"COOK, Orchard",Massachusetts,11th Congress (1809-1811),Democrat-Republican
1266,"SCUDDER, John Anderson",New Jersey,11th Congress (1809-1811),Democrat-Republican
1267,"STEPHENSON, James",Virginia,11th Congress (1809-1811),Federalist
1268,"VAN DYKE, Nicholas",Delaware,11th Congress (1809-1811),Federalist
1269,"BLAISDELL, Daniel",New Hampshire,11th Congress (1809-1811),Federalist
1270,"STANLY, John",North Carolina,11th Congress (1809-1811),Federalist
1271,"CAMPBELL, John",Maryland,11th Congress (1809-1811),Federalist
1272,"WHITMAN, Ezekiel",Massachusetts,11th Congress (1809-1811),Federalist
1273,"HUNTINGTON, Ebenezer",Connecticut,11th Congress (1809-1811),Federalist
1274,"MILLER, Pleasant Moorman",Tennessee,11th Congress (1809-1811),Democrat-Republican
1275,"CHITTENDEN, Martin",Vermont,11th Congress (1809-1811),Federalist
1276,"EMOTT, James",New York,11th Congress (1809-1811),Federalist
1277,"MATHEWS, Vincent",New York,11th Congress (1809-1811),Federalist
1278,"UPHAM, Jabez",Massachusetts,11th Congress (1809-1811),Federalist
1279,"POTTER, Elisha Reynolds",Rhode Island,11th Congress (1809-1811),Federalist
1280,"CHAMPION, Epaphroditus",Connecticut,11th Congress (1809-1811),Federalist
1281,"KNICKERBOCKER, Herman",New York,11th Congress (1809-1811),Federalist
1282,"ALLEN, Joseph",Massachusetts,11th Congress (1809-1811),Federalist
1283,"HALE, William",New Hampshire,11th Congress (1809-1811),Federalist
1284,"JENKINS, Robert",Pennsylvania,11th Congress (1809-1811),Federalist
1285,"STURGES, Lewis Burr",Connecticut,11th Congress (1809-1811),Federalist
1286,"TAGGART, Samuel",Massachusetts,11th Congress (1809-1811),Federalist
1287,"CHAMBERLAIN, William",Vermont,11th Congress (1809-1811),Federalist
1288,"STEDMAN, William",Massachusetts,11th Congress (1809-1811),Federalist
1289,"LIVINGSTON, Robert Le Roy",New York,11th Congress (1809-1811),Federalist
1290,"PICKMAN, Benjamin, Jr.",Massachusetts,11th Congress (1809-1811),Federalist
1291,"WILSON, James",New Hampshire,11th Congress (1809-1811),Federalist
1292,"MOSELEY, Jonathan Ogden",Connecticut,11th Congress (1809-1811),Federalist
1293,"MILNOR, William",Pennsylvania,11th Congress (1809-1811),Federalist
1294,"PITKIN, Timothy",Connecticut,11th Congress (1809-1811),Federalist
1295,"BAYLIES, William",Massachusetts,11th Congress (1809-1811),Federalist
1296,"TALLMADGE, Benjamin",Connecticut,11th Congress (1809-1811),Federalist
1297,"JACKSON, Richard, Jr.",Rhode Island,11th Congress (1809-1811),Federalist
1298,"QUINCY, Josiah",Massachusetts,11th Congress (1809-1811),Federalist
1299,"GOLD, Thomas Ruggles",New York,11th Congress (1809-1811),Federalist
1300,"WHEATON, Laban",Massachusetts,11th Congress (1809-1811),Federalist
1301,"BIGELOW, Abijah",Massachusetts,11th Congress (1809-1811),Federalist
1302,"VAN RENSSELAER, Killian Killian",New York,11th Congress (1809-1811),Federalist
1303,"DAVENPORT, John",Connecticut,11th Congress (1809-1811),Federalist
1304,"ELY, William",Massachusetts,11th Congress (1809-1811),Federalist
1305,"HAVEN, Nathaniel Appleton",New Hampshire,11th Congress (1809-1811),Federalist
1306,"DANA, Samuel Whittlesey",Connecticut,11th Congress (1809-1811),Federalist
1307,"HUBBARD, Jonathan Hatch",Vermont,11th Congress (1809-1811),Federalist
1308,"CHAMBERLAIN, John Curtis",New Hampshire,11th Congress (1809-1811),Federalist
1309,"LIVERMORE, Edward St. Loe",Massachusetts,11th Congress (1809-1811),Federalist
1310,"HALL, Bolling",Georgia,12th Congress (1811-1813),Democrat-Republican
1311,"ROBERTS, Jonathan",Pennsylvania,12th Congress (1811-1813),Democrat-Republican
1312,"ROANE, John",Virginia,12th Congress (1811-1813),Democrat-Republican
1313,"McCOY, William",Virginia,12th Congress (1811-1813),Democrat-Republican
1314,"LACOCK, Abner",Pennsylvania,12th Congress (1811-1813),Democrat-Republican
1315,"BARD, David",Pennsylvania,12th Congress (1811-1813),Democrat-Republican
1316,"KING, William Rufus de Vane",North Carolina,12th Congress (1811-1813),Democrat-Republican
1317,"BIBB, William Wyatt",Georgia,12th Congress (1811-1813),Democrat-Republican
1318,"WILLIAMS, David Rogerson",South Carolina,12th Congress (1811-1813),Democrat-Republican
1319,"CRAWFORD, William",Pennsylvania,12th Congress (1811-1813),Democrat-Republican
1320,"GRUNDY, Felix",Tennessee,12th Congress (1811-1813),Democrat-Republican
1321,"MORGAN, James",New Jersey,12th Congress (1811-1813),Democrat-Republican
1322,"FRANKLIN, Meshack",North Carolina,12th Congress (1811-1813),Democrat-Republican
1323,"MACON, Nathaniel",North Carolina,12th Congress (1811-1813),Democrat-Republican
1324,"BASSETT, Burwell",Virginia,12th Congress (1811-1813),Democrat-Republican
1325,"COCHRAN, James",North Carolina,12th Congress (1811-1813),Democrat-Republican
1326,"BLOUNT, Thomas",North Carolina,12th Congress (1811-1813),Democrat-Republican
1327,"BARNETT, William",Georgia,12th Congress (1811-1813),Democrat-Republican
1328,"BURWELL, William Armisted",Virginia,12th Congress (1811-1813),Democrat-Republican
1329,"CLAY, Matthew",Virginia,12th Congress (1811-1813),Democrat-Republican
1330,"WHITEHILL, Robert",Pennsylvania,12th Congress (1811-1813),Democrat-Republican
1331,"DESHA, Joseph",Kentucky,12th Congress (1811-1813),Democrat-Republican
1332,"CLOPTON, John",Virginia,12th Congress (1811-1813),Democrat-Republican
1333,"BUTLER, William",South Carolina,12th Congress (1811-1813),Democrat-Republican
1334,"BROWN, Robert",Pennsylvania,12th Congress (1811-1813),Democrat-Republican
1335,"EARLE, Elias",South Carolina,12th Congress (1811-1813),Democrat-Republican
1336,"MOORE, Thomas",South Carolina,12th Congress (1811-1813),Democrat-Republican
1337,"COBB, Howell",Georgia,12th Congress (1811-1813),Democrat-Republican
1338,"GOODWYN, Peterson",Virginia,12th Congress (1811-1813),Democrat-Republican
1339,"HALL, Obed",New Hampshire,12th Congress (1811-1813),Democrat-Republican
1340,"TROUP, George Michael",Georgia,12th Congress (1811-1813),Democrat-Republican
1341,"HUNGERFORD, John Pratt",Virginia,12th Congress (1811-1813),Democrat-Republican
1342,"NEW, Anthony",Kentucky,12th Congress (1811-1813),Democrat-Republican
1343,"RHEA, John",Tennessee,12th Congress (1811-1813),Democrat-Republican
1344,"LYLE, Aaron",Pennsylvania,12th Congress (1811-1813),Democrat-Republican
